vowel,time_index,v_time,time_abs,F1,F2,F3
a,1,0,0,NA,NA,NA
a,2,0.009,0.009,NA,NA,NA
a,3,0.019,0.019,NA,NA,NA
a,4,0.028,0.028,1156,1551,2978
a,5,0.038,0.038,1150,1981,3099
a,6,0.047,0.047,1070,2010,3153
a,7,0.056,0.056,1126,2398,3529
a,8,0.066,0.066,1478,2532,3561
a,9,0.075,0.075,539,2197,2799
a,10,0.085,0.085,970,2211,3373
a,1,0,0.085,970,2211,3373
a,2,0.042,0.127,782,1294,2771
a,3,0.085,0.17,767,1265,2678
a,4,0.127,0.212,721,1243,2738
a,5,0.17,0.255,736,1265,2717
a,6,0.212,0.297,770,1262,2748
a,7,0.255,0.34,747,1235,2782
a,8,0.297,0.382,555,1271,2575
a,9,0.34,0.425,636,1242,2644
a,10,0.382,0.467,729,1275,2699
e,1,0,0.788,1203,2363,3019
e,2,0.057,0.845,557,1713,2246
e,3,0.114,0.901,597,1703,2232
e,4,0.171,0.958,626,1753,2274
e,5,0.227,1.015,577,1717,2258
e,6,0.284,1.072,476,1726,2279
e,7,0.341,1.129,418,1758,2339
e,8,0.398,1.186,507,1723,2416
e,9,0.455,1.243,524,1697,2287
e,10,0.512,1.3,483,1707,2491
i,1,0,1.713,493,2034,2985
i,2,0.042,1.755,257,2228,3212
i,3,0.084,1.796,248,2247,3185
i,4,0.125,1.838,224,2237,3169
i,5,0.167,1.88,250,2247,3109
i,6,0.209,1.922,247,2253,3079
i,7,0.251,1.964,229,2244,3106
i,8,0.293,2.005,238,2312,2768
i,9,0.334,2.047,215,2309,3081
i,10,0.376,2.089,248,2292,3089
o,1,0,2.527,1097,2132,3212
o,2,0.038,2.564,582,1002,2921
o,3,0.075,2.602,567,952,3077
o,4,0.113,2.64,567,1153,2968
o,5,0.151,2.678,600,1250,2929
o,6,0.188,2.715,598,840,2853
o,7,0.226,2.753,578,873,2856
o,8,0.264,2.791,404,757,3008
o,9,0.301,2.828,497,790,3246
o,10,0.339,2.866,560,787,3271
u,1,0,3.279,377,2166,3337
u,2,0.036,3.315,333,1201,2240
u,3,0.071,3.35,335,1838,3190
u,4,0.107,3.386,371,2161,3365
u,5,0.143,3.422,373,2344,3386
u,6,0.178,3.457,386,2349,3399
u,7,0.214,3.493,300,687,2688
u,8,0.249,3.529,304,1181,3128
u,9,0.285,3.564,273,782,3246
u,10,0.321,3.6,279,529,3371
